PassengerId,Survived,PassengerClass,Sex,Age,SiblingSpouse,ParentChild
1,0,3,male,22,1,0
2,1,1,female,38,1,0
3,1,3,female,26,0,0
4,1,1,female,35,1,0
5,0,3,male,35,0,0
6,0,1,male,54,0,0
7,0,3,male,2,3,1
8,1,3,female,27,0,2
9,1,2,female,14,1,0
10,1,3,female,4,1,1
11,1,1,female,58,0,0
12,0,3,male,20,0,0
13,0,3,male,39,1,5
14,0,3,female,14,0,0
15,1,2,female,55,0,0
16,0,3,male,2,4,1
17,0,3,female,31,1,0
18,0,2,male,35,0,0
19,1,2,male,34,0,0
20,1,3,female,15,0,0
21,1,1,male,28,0,0
22,0,3,female,8,3,1
23,1,3,female,38,1,5
24,0,1,male,19,3,2
25,0,1,male,40,0,0
26,0,2,male,66,0,0
27,0,1,male,28,1,0
28,0,1,male,42,1,0
29,0,3,male,21,0,0
30,0,3,female,18,2,0
31,1,3,female,14,1,0
32,0,3,female,40,1,0
33,0,2,female,27,1,0
34,1,2,female,3,1,2
35,1,3,female,19,0,0
36,0,3,female,18,1,0
37,0,3,male,7,4,1
38,0,3,male,21,0,0
39,1,1,female,49,1,0
40,1,2,female,29,1,0
41,0,1,male,65,0,1
42,1,2,female,21,0,0
43,0,3,male,29,0,0
44,1,2,female,5,1,2
45,0,3,male,11,5,2
46,0,3,male,22,0,0
47,0,1,male,45,1,0
48,0,3,male,4,3,2
49,1,2,female,29,0,0
50,0,3,male,19,0,0
51,1,3,female,17,4,2
52,0,3,male,26,2,0
53,0,2,male,32,0,0
54,0,3,female,16,5,2
55,0,2,male,221,0,0
56,0,3,male,26,1,0
57,1,3,male,32,0,0
58,0,3,male,25,0,0
59,1,2,male,1,0,2
60,1,3,female,30,0,0
61,0,3,male,22,,0
62,1,3,male,1,0,0
63,0,1,male,28,0,0
